Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status,linha_original
2025-06-11 16:24:06,,,867488061438387,16249.0,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2025-06-11 16:26:06,,,867488061438387,16251.0,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2025-06-11 16:28:06,,,867488061438387,16253.0,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2025-06-11 16:28:54,2025-06-11 16:28:53,2025-06-11 15:35:36,867488061438387,16254.0,GTIGN,0x09fe7fbf,,802003.0,0x0a04,0x0a14,100.0,12548.0,0.0,0000,1.0,0.0,22,12.0,28271,0.0,0.0,262.0,192.0,-6.808811,-43.011475,724.0,5.0,f79d,0d94b110,0.0,111.5,0:00:00,0:00:00,-,-,0.0,-,,,,,,,,,,,5
2025-06-11 16:28:54,2025-06-11 16:28:53,2025-06-11 15:35:36,867488061438387,16255.0,GTSTT,0x09fe7fbf,,802003.0,0x0a04,0x0a14,100.0,12548.0,0.0,0000,1.0,0.0,22,12.0,-,0.0,0.0,262.0,192.0,-6.808811,-43.011475,724.0,5.0,f79d,0d94b110,0.0,111.5,0:00:00,0:00:00,-,-,0.0,-,,,,,,,,,,,6
2025-06-11 16:29:17,2025-06-11 16:29:16,2025-06-11 16:29:17,867488061438387,16256.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13585.0,0.0,-,1.0,0.0,22,12.0,-,1.0,5.8,189.0,95.0,-6.809596,-43.012201,724.0,5.0,f79d,0d94b10c,0.1,111.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,3.0,0.0,0.0,10.0,,7
2025-06-11 16:29:17,2025-06-11 16:29:16,2025-06-11 16:29:17,867488061438387,16257.0,GTIGL,0x09fe7fbf,,802003.0,0x0a04,0x0a14,100.0,13585.0,0.0,0000,1.0,0.0,22,12.0,-,1.0,5.8,189.0,95.0,-6.809596,-43.012201,724.0,5.0,f79d,0d94b10c,0.1,111.6,0:00:00,0:00:00,-,-,0.0,-,,,,,,,,,0.0,,8
2025-06-11 16:29:20,2025-06-11 16:29:19,2025-06-11 16:29:20,867488061438387,16258.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13585.0,0.0,-,1.0,0.0,22,12.0,-,1.0,5.1,220.0,136.0,-6.80953,-43.011987,724.0,5.0,f79d,0d94b10c,0.1,111.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,3.0,0.0,0.0,11.0,,9
2025-06-11 16:29:24,2025-06-11 16:29:23,2025-06-11 16:29:24,867488061438387,16259.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13659.0,0.0,-,1.0,0.0,22,12.0,-,1.0,6.5,255.0,156.0,-6.809506,-43.011975,724.0,5.0,f79d,0d94b10c,0.1,111.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,3.0,0.0,0.0,11.0,,10
2025-06-11 16:29:31,2025-06-11 16:29:30,2025-06-11 16:29:31,867488061438387,16260.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13593.0,0.0,-,1.0,0.0,22,12.0,-,1.0,4.6,315.0,164.0,-6.809413,-43.011946,724.0,5.0,f79d,0d94b10c,0.1,111.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,3.0,0.0,0.0,11.0,,11
2025-06-11 16:29:32,2025-06-11 16:29:31,2025-06-11 16:29:32,867488061438387,16261.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13593.0,0.0,-,1.0,0.0,22,12.0,-,1.0,4.5,1.0,165.0,-6.809395,-43.01193,724.0,5.0,f79d,0d94b10c,0.1,111.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,3.0,0.0,0.0,11.0,,12
2025-06-11 16:29:34,2025-06-11 16:29:33,2025-06-11 16:29:34,867488061438387,16263.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13541.0,0.0,-,1.0,0.0,22,12.0,-,1.0,3.9,41.0,166.0,-6.809377,-43.011907,724.0,5.0,f79d,0d94b10c,0.1,111.6,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,3.0,0.0,0.0,11.0,,13
2025-06-11 16:29:39,2025-06-11 16:29:38,2025-06-11 16:29:39,867488061438387,16264.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13491.0,0.0,-,1.0,0.0,22,12.0,-,1.0,6.1,254.0,168.0,-6.809374,-43.0119,724.0,5.0,f79d,0d94b10a,0.2,111.7,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,11.0,,14
2025-06-11 16:29:43,2025-06-11 16:29:42,2025-06-11 16:29:43,867488061438387,16265.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13645.0,0.0,-,1.0,0.0,22,12.0,-,1.0,7.1,290.0,172.0,-6.809335,-43.011941,724.0,5.0,f79d,0d94b10a,0.2,111.7,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,11.0,,15
2025-06-11 16:29:48,2025-06-11 16:29:47,2025-06-11 16:29:48,867488061438387,16266.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13519.0,0.0,-,1.0,0.0,22,12.0,-,1.0,3.8,59.0,173.0,-6.809293,-43.011943,724.0,5.0,f79d,0d94b10a,0.2,111.7,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,11.0,,16
2025-06-11 16:29:50,2025-06-11 16:29:49,2025-06-11 16:29:50,867488061438387,16267.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13519.0,0.0,-,1.0,0.0,22,12.0,-,1.0,5.9,94.0,173.0,-6.809291,-43.011904,724.0,5.0,f79d,0d94b100,0.2,111.7,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,7.0,0.0,0.0,11.0,,17
