data/hora inclusão,data/hora evento,gnss utc time,imei,sequência,tipo mensagem,máscara report,máscara eri,tipo dispositivo,versão protocolo,versão firmware,bateria interna,alimentação externa,analog input mode,analog input1 voltage,digital input status,digital output status,motion status,satélites,duração da ignição,precisão gnss,velocidade,azimuth,altitude,latitude,longitude,mcc,mnc,lac,cell id,hodômetro atual,hodômetro total,horímetro atual,horímetro total,motivo power off,motivo power on,id,id report type,comando customizado,battery status,backup battery voltage,network type,rat,band,ign trigger data,gnss trigger type,position report type,gnss signal status,linha_arquivo,linha_arquivo_original
2025-06-30 02:18:25,2025-06-30 02:18:25,2025-06-30 02:15:59,867488061438379,24.0,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12507,0000,-,00,00,11,12,-,01,0.0,315,898,-22.94468,-47.032932,0724,0010,c3c7,0dc56a33,0.0,4087.5,0:00:00,0:00:00,-,-,0,-,,,,,04,28,00000000,00,10,,15393,15393
2025-06-30 03:18:25,2025-06-30 03:18:25,2025-06-30 03:16:01,867488061438379,85.0,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12504,0000,-,00,00,11,12,-,01,0.0,315,898,-22.94468,-47.032932,0724,0010,c3c7,0dc56a33,0.0,4087.5,0:00:00,0:00:00,-,-,0,-,,,,,04,28,00000000,00,10,,15424,15424
2025-06-30 04:18:25,2025-06-30 04:18:25,2025-06-30 04:16:30,867488061438379,146.0,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12502,0000,-,00,00,11,11,-,01,0.0,315,898,-22.94468,-47.032932,0724,0010,c3c7,0dc56a33,0.0,4087.5,0:00:00,0:00:00,-,-,0,-,,,,,04,28,00000000,00,10,,15455,15455
2025-06-30 05:18:25,2025-06-30 05:18:25,2025-06-30 05:15:59,867488061438379,207.0,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12491,0000,-,00,00,11,10,-,01,0.0,315,898,-22.94468,-47.032932,0724,0010,c3c7,0dc56a33,0.0,4087.5,0:00:00,0:00:00,-,-,0,-,,,,,04,28,00000000,00,10,,15486,15486
2025-06-30 06:18:25,2025-06-30 06:18:25,2025-06-30 06:16:10,867488061438379,268.0,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12487,0000,-,00,00,11,10,-,01,0.0,315,898,-22.94468,-47.032932,0724,0010,c3c7,0dc56a33,0.0,4087.5,0:00:00,0:00:00,-,-,0,-,,,,,04,28,00000000,00,10,,15517,15517
2025-06-30 07:18:25,2025-06-30 07:18:25,2025-06-30 07:16:30,867488061438379,329.0,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12492,0000,-,00,00,11,11,-,01,0.0,315,898,-22.94468,-47.032932,0724,0010,c3c7,0dc56a33,0.0,4087.5,0:00:00,0:00:00,-,-,0,-,,,,,04,28,00000000,00,10,,15548,15548
2025-06-30 08:18:25,2025-06-30 08:18:25,2025-06-30 08:16:03,867488061438379,390.0,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12486,0000,-,00,00,11,10,-,01,0.0,315,898,-22.94468,-47.032932,0724,0010,c3c7,0dc56a33,0.0,4087.5,0:00:00,0:00:00,-,-,0,-,,,,,04,28,00000000,00,10,,15579,15579
2025-06-30 08:51:51,2025-06-30 08:51:51,2025-06-30 08:16:03,867488061438379,425.0,GTIGN,0x09fe7fbf,,802003,0x0a04,0x0a14,100,12223,0000,0000,01,00,22,10,166564,00,0.0,315,898,-22.94468,-47.032932,0724,0010,c3c7,0dc56a33,0.0,4087.5,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,,15597,15597
2025-06-30 08:51:51,2025-06-30 08:51:51,2025-06-30 08:16:03,867488061438379,426.0,GTSTT,0x09fe7fbf,,802003,0x0a04,0x0a14,100,12223,0000,0000,01,00,22,10,-,00,0.0,315,898,-22.94468,-47.032932,0724,0010,c3c7,0dc56a33,0.0,4087.5,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,,15598,15598
2025-06-30 08:51:54,2025-06-30 08:51:54,2025-06-30 08:16:03,867488061438379,427.0,GTIGF,0x09fe7fbf,,802003,0x0a04,0x0a14,100,12127,0000,0000,00,00,12,10,3,00,0.0,315,898,-22.94468,-47.032932,0724,0010,c3c7,0dc56a35,0.0,4087.5,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,,15599,15599
2025-06-30 08:51:54,2025-06-30 08:51:54,2025-06-30 08:16:03,867488061438379,428.0,GTSTT,0x09fe7fbf,,802003,0x0a04,0x0a14,100,12127,0000,0000,00,00,12,10,-,00,0.0,315,898,-22.94468,-47.032932,0724,0010,c3c7,0dc56a35,0.0,4087.5,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,,15600,15600
