data/hora inclusão,data/hora evento,gnss utc time,imei,sequência,tipo mensagem,máscara report,máscara eri,tipo dispositivo,versão protocolo,versão firmware,bateria interna,alimentação externa,analog input mode,analog input1 voltage,digital input status,digital output status,motion status,satélites,duração da ignição,precisão gnss,velocidade,azimuth,altitude,latitude,longitude,mcc,mnc,lac,cell id,hodômetro atual,hodômetro total,horímetro atual,horímetro total,motivo power off,motivo power on,id,id report type,comando customizado,battery status,backup battery voltage,network type,rat,band,ign trigger data,gnss trigger type,position report type,gnss signal status,linha original,linha_arquivo_original
2025-06-11 16:29:43,2025-06-11 16:28:40,2025-06-11 16:09:19,867488061395116,2127.0,GTPDP,0x09fe7fbf,,802003.0,0x0a04,0x0a14,100.0,12875.0,0.0,0000,0.0,0.0,11,12.0,-,0.0,0.0,18.0,48.0,-32.219801,-53.039806,724.0,5.0,a05d,08165a0b,4.2,230.8,0:00:00,0:00:00,-,-,0.0,-,,,,,,,,,,,5,2
2025-06-11 17:04:17,2025-06-11 17:04:15,2025-06-11 17:01:48,867488061395116,2145.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12858.0,0.0,-,0.0,0.0,11,12.0,-,1.0,0.0,18.0,48.0,-32.219801,-53.039806,724.0,5.0,0355,00004e3c,4.2,230.8,0:00:00,0:00:00,-,-,0.0,-,,,,,1.0,900.0,0.0,0.0,10.0,,23,3
2025-06-11 17:11:34,2025-06-11 17:09:39,2025-06-11 17:01:48,867488061395116,2148.0,GTIGN,0x09fe7fbf,,802003.0,0x0a04,0x0a14,100.0,12856.0,0.0,0000,1.0,0.0,22,12.0,3920,0.0,0.0,18.0,48.0,-32.219801,-53.039806,724.0,5.0,a05d,08165a0b,0.0,230.8,0:00:00,0:00:00,-,-,0.0,-,,,,,,,,,,,28,4
2025-06-11 17:11:34,2025-06-11 17:09:39,2025-06-11 17:01:48,867488061395116,2149.0,GTSTT,0x09fe7fbf,,802003.0,0x0a04,0x0a14,100.0,12856.0,0.0,0000,1.0,0.0,22,12.0,-,0.0,0.0,18.0,48.0,-32.219801,-53.039806,724.0,5.0,a05d,08165a0b,0.0,230.8,0:00:00,0:00:00,-,-,0.0,-,,,,,,,,,,,29,5
2025-06-11 17:11:34,2025-06-11 17:09:48,2025-06-11 17:09:49,867488061395116,2151.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13792.0,0.0,-,1.0,0.0,22,12.0,-,1.0,10.4,314.0,50.0,-32.219804,-53.039915,724.0,5.0,a05d,08165a0b,0.0,230.8,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,10.0,,30,6
2025-06-11 17:11:35,2025-06-11 17:09:48,2025-06-11 17:09:49,867488061395116,2152.0,GTIGL,0x09fe7fbf,,802003.0,0x0a04,0x0a14,100.0,13792.0,0.0,0000,1.0,0.0,22,12.0,-,1.0,10.4,314.0,50.0,-32.219804,-53.039915,724.0,5.0,a05d,08165a0b,0.0,230.8,0:00:00,0:00:00,-,-,0.0,-,,,,,,,,,0.0,,31,7
2025-06-11 17:11:35,2025-06-11 17:09:50,2025-06-11 17:09:51,867488061395116,2153.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13858.0,0.0,-,1.0,0.0,22,12.0,-,1.0,14.8,352.0,49.0,-32.219742,-53.039939,724.0,5.0,a05d,08165a0b,0.0,230.8,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,11.0,,32,8
2025-06-11 17:11:36,2025-06-11 17:09:52,2025-06-11 17:09:53,867488061395116,2154.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13798.0,0.0,-,1.0,0.0,22,12.0,-,1.0,22.2,23.0,49.0,-32.219649,-53.039913,724.0,5.0,a05d,08165a0b,0.0,230.8,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,11.0,,33,9
2025-06-11 17:11:36,2025-06-11 17:10:03,2025-06-11 17:10:04,867488061395116,2155.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12615.0,0.0,-,1.0,0.0,22,12.0,-,1.0,22.0,347.0,50.0,-32.219101,-53.039488,724.0,5.0,a05d,08165a0b,0.1,230.9,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,11.0,,34,10
2025-06-11 17:11:37,2025-06-11 17:10:07,2025-06-11 17:10:08,867488061395116,2156.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12615.0,0.0,-,1.0,0.0,22,12.0,-,1.0,11.2,316.0,50.0,-32.218918,-53.039599,724.0,5.0,a05d,08165a0b,0.1,231.0,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,28.0,0.0,0.0,11.0,,35,11
