Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status
2025-06-12 00:01:04,2025-06-12 00:01:04,2025-06-11 23:59:06,867488061434766,17336,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12870,0,-,0,0,11,12,-,1,0.0,315,658,-23.508072,-47.602568,724,10,c3c3,0dc23317,0.0,1917.6,0:00:00,0:00:00,-,-,0,-,,,,,4,3,0,0,10,
2025-06-12 00:01:17,,,867488061434766,17337,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:03:17,,,867488061434766,17339,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:05:17,,,867488061434766,17341,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:07:17,,,867488061434766,17343,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:09:17,,,867488061434766,17345,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:11:17,,,867488061434766,17347,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:13:17,,,867488061434766,17349,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:15:18,,,867488061434766,17351,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:17:18,,,867488061434766,17353,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:19:18,,,867488061434766,17355,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:21:18,,,867488061434766,17357,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:23:18,,,867488061434766,17359,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:25:18,,,867488061434766,17361,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:27:18,,,867488061434766,17363,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:29:18,,,867488061434766,17365,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:31:18,,,867488061434766,17367,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:33:19,,,867488061434766,17369,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:35:19,,,867488061434766,17371,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:37:19,,,867488061434766,17373,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:39:19,,,867488061434766,17375,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:41:19,,,867488061434766,17377,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:43:19,,,867488061434766,17379,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:45:19,,,867488061434766,17381,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:47:19,,,867488061434766,17383,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:49:19,,,867488061434766,17385,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:51:19,,,867488061434766,17387,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:53:20,,,867488061434766,17389,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:55:20,,,867488061434766,17391,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:57:20,,,867488061434766,17393,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 00:59:20,,,867488061434766,17395,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:01:04,2025-06-12 01:01:04,2025-06-12 00:58:49,867488061434766,17397,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12859,0,-,0,0,11,11,-,1,0.0,315,658,-23.508072,-47.602568,724,10,c3c3,0dc23317,0.0,1917.6,0:00:00,0:00:00,-,-,0,-,,,,,4,3,0,0,10,
2025-06-12 01:01:20,,,867488061434766,17398,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:03:20,,,867488061434766,17400,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:05:20,,,867488061434766,17402,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:07:20,,,867488061434766,17404,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:09:20,,,867488061434766,17406,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:11:21,,,867488061434766,17408,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:13:21,,,867488061434766,17410,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:15:21,,,867488061434766,17412,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:17:21,,,867488061434766,17414,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:19:21,,,867488061434766,17416,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:21:21,,,867488061434766,17418,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:23:21,,,867488061434766,17420,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:25:21,,,867488061434766,17422,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:27:22,,,867488061434766,17424,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:29:22,,,867488061434766,17426,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:31:22,,,867488061434766,17428,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:33:22,,,867488061434766,17430,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:35:22,,,867488061434766,17432,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:37:22,,,867488061434766,17434,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:39:22,,,867488061434766,17436,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:41:22,,,867488061434766,17438,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:43:22,,,867488061434766,17440,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:45:22,,,867488061434766,17442,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:47:22,,,867488061434766,17444,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:49:23,,,867488061434766,17446,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:51:23,,,867488061434766,17448,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:53:23,,,867488061434766,17450,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:55:23,,,867488061434766,17452,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:57:23,,,867488061434766,17454,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:59:23,,,867488061434766,17456,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 02:01:04,2025-06-12 02:01:04,2025-06-12 01:59:23,867488061434766,17458,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12841,0,-,0,0,11,12,-,1,0.0,315,658,-23.508072,-47.602568,724,10,c3c3,0dc23317,0.0,1917.6,0:00:00,0:00:00,-,-,0,-,,,,,4,3,0,0,10,
2025-06-12 02:01:23,,,867488061434766,17459,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
